neighborhood_municipality,total_partially_vaccinated,total_fully_vaccinated,total_fully_vaccinated_w_booster
Aleppo,116,419,799
Allegheny Center (Pittsburgh),173,524,425
Allegheny West (Pittsburgh),51,179,206
Allentown (Pittsburgh),190,748,490
Arlington Heights (Pittsburgh),23,63,24
Arlington (Pittsburgh),135,577,370
Aspinwall,249,1017,1336
Avalon,352,1661,1562
Baldwin Borough,1362,7081,7938
Baldwin Township,109,664,798
Banksville (Pittsburgh),355,1547,1476
Bedford Dwellings (Pittsburgh),125,379,191
Beechview (Pittsburgh),656,2582,2345
Bell Acres,114,461,540
Bellevue,633,2960,2349
Beltzhoover (Pittsburgh),124,510,407
Ben Avon,146,657,731
Ben Avon Heights,32,129,193
Bethel Park,2197,10691,14191
Blawnox,120,455,529
Bloomfield (Pittsburgh),1061,3139,3316
Bluff (Pittsburgh),230,670,268
Bon Air (Pittsburgh),38,249,258
Brackenridge,195,1008,767
Braddock,130,589,376
Braddock Hills,130,547,565
Bradford Woods,92,433,523
Brentwood,621,3296,3143
Bridgeville,363,1711,1641
Brighton Heights (Pittsburgh),522,2335,2303
Brookline (Pittsburgh),860,4472,4467
California-Kirkbride (Pittsburgh),64,233,131
Carnegie,681,2900,2531
Carrick (Pittsburgh),626,3392,2659
Castle Shannon,564,2840,3133
Central Business District (Pittsburgh),952,2054,1495
Central Lawrenceville (Pittsburgh),559,1502,2023
Central Northside (Pittsburgh),311,998,1107
Central Oakland (Pittsburgh),651,1875,695
Chalfant,46,245,229
Chartiers City (Pittsburgh),27,137,145
Chateau (Pittsburgh),8,24,14
Cheswick,113,591,704
Churchill,266,1028,1526
Clairton,302,1629,1439
Collier,812,2920,3388
Coraopolis,386,2017,1674
Crafton,378,2117,1983
Crafton Heights (Pittsburgh),285,1279,1091
Crawford-Roberts (Pittsburgh),246,925,731
Crescent,135,739,783
Dormont,595,2870,3042
Dravosburg,79,488,478
Duquesne,304,1476,888
Duquesne Heights (Pittsburgh),241,817,906
East Allegheny (Pittsburgh),149,617,648
