Neighborhood,Id,Estimate; Total:, Estimate; Family households:, Estimate; Nonfamily households:
Allegheny Center,1,870,184,686
Allegheny West,2,146,70,76
Allentown,3,1069.0,622.0,447.0
Arlington,4,701.0,394.0,307.0
Arlington Heights,5,144,86,10
Banksville,6,1946.0,913.0,1033.0
Bedford Dwellings,7,723,342,24
Beechview,8,3567.0,1929.0,1638.0
Beltzhoover,9,848.0,379.0,469.0
Bloomfield,10,4571.0,1281.0,3290.0
Bluff,11,240.0,67.0,173.0
Bon Air,12,372,257,115
Brighton Heights,13,3222.0,1890.0,1332.0
Brookline,14,5843.0,3376.0,2467.0
California-Kirkbride,15,333,170,163
Carrick,16,4301.0,2416.0,1885.0
Central Business District,17,1968.0,415.0,1553.0
Central Lawrenceville,18,2338.0,941.0,1397.0
Central Northside,19,1479.0,516.0,963.0
Central Oakland,20,1903.0,295.0,1608.0
Chartiers City,21,271,171,100
Chateau,22,3,0,3
Crafton Heights,23,1677.0,1031.0,646.0
Crawford-Roberts,24,1125.0,493.0,632.0
Duquesne Heights,25,1170.0,652.0,518.0
East Allegheny,26,1302.0,352.0,950.0
East Carnegie,27,264,140,124
East Hills,28,1325.0,648.0,677.0
East Liberty,29,2902.0,1116.0,1786.0
Elliott,30,953.0,578.0,375.0
Esplen,31,142,60,82
Fairywood,32,428,194,234
Fineview,33,624.0,396.0,228.0
Friendship,34,1074.0,350.0,724.0
Garfield,35,1571.0,883.0,688.0
Glen Hazel,36,241,127,114
Greenfield,37,3438.0,2043.0,1395.0
Hays,38,185,113,72
Hazelwood,39,1870.0,1001.0,869.0
Highland Park,40,2977.0,1547.0,1430.0
Homewood North,41,1210.0,855.0,355.0
Homewood South,42,1082.0,489.0,593.0
Homewood West,43,392.0,145.0,247.0
Knoxville,44,1510.0,985.0,525.0
Larimer,45,652.0,332.0,320.0
Lincoln Place,46,1460.0,952.0,508.0
Lincoln-Lemington-Belmar,47,1959.0,1081.0,878.0
Lower Lawrenceville,48,1257.0,499.0,758.0
Manchester,49,984.0,406.0,578.0
Marshall-Shadeland,50,1565.0,991.0,574.0
Middle Hill,51,926.0,384.0,542.0
Morningside,52,1534.0,783.0,751.0
Mount Oliver Borough,53,1465.0,780.0,685.0
Mount Washington,54,4385.0,1615.0,2770.0
Mt. Oliver,55,261,147,114
New Homestead,56,379,271,108
North Oakland,57,2972.0,633.0,2339.0
North Shore,58,154.0,22.0,132.0
Northview Heights,59,510,354,156
Oakwood,60,552,259,293
Overbrook,61,1594.0,1003.0,591.0
Perry North,62,1625.0,866.0,759.0
Perry South,63,1630.0,655.0,975.0
Point Breeze,64,2342.0,1500.0,842.0
Point Breeze North,65,996.0,348.0,648.0
Polish Hill,66,710.0,243.0,467.0
Regent Square,67,476,292,184
Ridgemont,68,162,84,78
Shadyside,69,7484.0,1839.0,5645.0
Sheraden,70,2202.0,1417.0,785.0
South Oakland,71,1155.0,266.0,889.0
South Shore,72,8,0,8
South Side Flats,73,3311.0,815.0,2496.0
South Side Slopes,74,1988.0,839.0,1149.0
Spring Garden,75,397.0,192.0,205.0
Spring Hill-City View,76,1080.0,580.0,500.0
Squirrel Hill North,77,3370.0,1853.0,1517.0
Squirrel Hill South,78,7211.0,3487.0,3724.0
St. Clair,79,101,47,54
Stanton Heights,80,2056.0,1268.0,788.0
Strip District,81,520,137,383
Summer Hill,82,517,288,229
Swisshelm Park,83,577,376,201
Terrace Village,84,831.0,243.0,588.0
Troy Hill,85,1158.0,546.0,612.0
Upper Hill,86,942.0,410.0,532.0
Upper Lawrenceville,87,1287.0,543.0,744.0
West End,88,99,28,71
West Oakland,89,630.0,261.0,369.0
Westwood,90,1492.0,896.0,596.0
Windgap,91,647.0,373.0,274.0
